Peak,RetTime,Type,Width,Area,Height,Area_1
#,[min],,[min],[mAU*s],[mAU],%
1,0.573,BB,0.1249,262.41620,29.17618,0.3906
2,0.857,BV,0.0653,172.34644,40.80274,0.2566
3,0.925,VV,0.0920,256.82199,41.61040,0.3823
4,1.017,VB,0.0877,216.22224,36.19160,0.3219
5,2.879,BV,0.1827,9438.09277,771.47272,14.0501
6,3.151,VV,0.1551,7609.00537,709.38531,11.3272
7,3.237,VV,0.1582,7775.65039,707.45294,11.5753
8,3.506,VB,0.2973,1.40466e4,668.16309,20.9105
9,5.334,BV,0.1239,2871.33765,389.89594,4.2744
10,5.608,VV,0.2444,8265.67676,445.53094,12.3047
11,5.726,VV,0.1640,5122.01953,446.02332,7.6249
12,5.980,VBA,0.3378,1.11386e4,442.28720,16.5815
